Festival Name,Start Date,End Date
Covellite International Film Festival,6/18/20,6/21/20
Coven Film Festival,1/10/20,1/12/20
Crested Butte Film Festival,9/24/20,9/27/20
Crimson Screen Horror Film Fest,5/22/20,5/24/20
Crossroads Film Festival,11/5/20,11/8/20
Crown Heights Film Festival,10/15/20,10/17/20
Crypticon Seattle Horror Film Festival,5/1/20,5/3/20
Dakota Film Festival,2/2/20,2/4/20
Dallas International Film Festival,4/16/20,4/23/20
Dallas VideoFest Alternative Fiction,2/7/20,2/10/20
Dam Short Film Festival,2/13/20,2/16/20
Damn These Heels LGBTQ Film Festival,7/10/20,7/12/20
Dance Camera West,1/9/20,1/12/20
Dance on Camera,7/17/20,7/20/20
Dances With Films,6/11/20,6/21/20
Davis Feminist Film Festival,5/23/20,5/23/20
Davis Film Festival,4/5/20,4/5/20
Dayton Jewish Film Festival,6/9/20,6/30/20
DC Asian Pacific American Film Festival,4/24/20,4/26/20
DC Black Film Festival,9/17/20,9/19/20
DC Independent Film Festival,3/4/20,3/8/20
DC Shorts Film Festival,9/10/20,9/19/20
deadCENTER Film Festival,6/11/20,6/14/20
Deaf Rochester Film Festival,4/14/20,4/18/20
Deep in the Heart Film Festival,8/13/20,8/16/20
Defy Film Festival,8/21/20,8/22/20
Denton Black Film Festival ,1/22/20,1/26/20
Denver Film Festival,11/4/20,11/15/20
Denver Jewish Film Festival,2/5/20,2/17/20
Denver Underground Film Festival,12/4/20,12/4/20
Desmond District Demons Film Festival,10/30/20,10/31/20
Destiny City Film Festival,2/28/20,3/1/20
Detroit International Festival of Animation,4/3/20,4/4/20
Detroit Jewish Film Festival,5/3/20,5/13/20
DisOrient Asian American Film Festival of Oregon,3/12/20,3/15/20
Diwa Filipino Film Showcase of Seattle,6/6/20,6/7/20
Do It Your Damn Self National Youth Film Festival,3/19/20,3/21/20
DOC LA - Los Angeles Documentary Film Festival,10/21/20,10/25/20
Doc NYC,11/11/20,11/19/20
Doc Sunback Film Festival,6/18/20,6/21/20
Doclands Documentary Film Festival,4/30/20,5/3/20
DOCUTAH International Documentary Film Festival,11/2/20,11/7/20
DocuWest Documentary Film Festival,9/17/20,9/20/20
Door County Short Film Festival,2/14/20,2/15/20
Double Exposure Film Festival,10/8/20,10/11/20
Downstream Film Festival,2/20/20,2/22/20
Dragon Con Independent Film Festival,9/3/20,9/7/20
Duluth-Superior Film Festival,6/3/20,6/7/20
Durango Independent Film Festival,3/4/20,3/8/20
"Earth Day Film Festival, The ",3/12/20,3/19/20
Earth Port Film Festival,4/26/20,4/26/20
Eastern Oregon Film Festival,10/22/20,10/24/20
Ebert Fest,4/15/20,4/18/20
Elkhorn Valley BEA D7 Film and Media Conference,5/17/20,5/18/20
Ellensburg Film Festival,10/24/20,10/24/20
Environmental Film Festival in the Nation's Capital,3/12/20,3/22/20
Epic ACG Fest,11/14/20,11/15/20
Etheria Film Night ,6/29/20,6/29/20
Everett Film Festival,4/10/20,4/11/20
Experiments in Cinema,4/14/20,4/18/20
Explorer's Club Polar Film Festival,1/23/20,1/25/20
Extremely Short Film Festival,5/15/20,5/16/20
F3: Frankly Film Fest,10/9/20,10/10/20
Fairhope Film Festival,11/12/20,11/15/20
FANtasic Horror Film Festival,10/25/20,10/27/20
Fantastic Fest,9/24/20,10/1/20
Fargo Fantastic Film Festival,10/15/20,10/18/20
Fargo Film Festival ,3/17/20,3/21/20
Fashion Film Festival of Chicago,10/15/20,10/15/20
Fayetteville Film Festival,11/5/20,11/7/20
Fear Fete,10/16/20,10/17/20
Fear No Film,6/25/20,6/28/20
Feminist Border Arts Film Festival,3/5/20,3/6/20
Festival Angaelica,10/7/20,10/11/20
Festival of Cinema NYC,8/7/20,8/16/20
Film Fest Petaluma,5/1/20,5/2/20
Film Invasion L.A.,6/4/20,6/7/20
Film One Fest,7/18/20,7/18/20
FilmFest DC ,4/23/20,5/3/20
FilmFort,3/26/20,3/28/20
FilmOut San Diego LGBTQ+ Film Festival,4/30/20,5/3/20
FilmQuest,9/4/20,9/12/20
"Fine Arts Film Festival, The ",5/29/20,5/30/20
FirstGlance Philadelphia Film Fest,10/9/20,10/11/20
Flagstaff Mountain Film Festival,2/13/20,2/16/20
Flathead Lake International Cinemafest,1/24/20,1/26/20
Flatland Film Festival,9/24/20,9/26/20
Flickers' Rhode Island International Film Festival,8/4/20,8/9/20
Florida Animation Festival,6/11/20,6/14/20
Florida Film Festival ,4/17/20,4/26/20
Flyway Film Festival,10/8/20,10/11/20
"Food Film Festival, The",10/22/20,10/25/20
Footcandle Film Festival,9/23/20,9/27/20
Fort Lauderdale International Film Festival,11/6/20,11/22/20
Fort Myers Beach International Film Festival,4/22/20,4/29/20
Fort Myers Film Festival,5/6/20,5/10/20
Fort Worth Indie Film Showcase,6/15/20,6/18/20
Freak Show Horror Film Festival,10/23/20,10/25/20
FREAKSHOW Horror Film Festival,10/23/20,10/25/20
Free Range Film Festival,6/26/20,6/27/20
Free State Film Festival,6/22/20,6/28/20
Freep Film Festival,4/22/20,4/26/20
Friday Harbor Film Festival,10/23/20,10/25/20
Front Range Film Festival,2/22/20,2/22/20
Frozen River Film Festival,2/5/20,2/9/20
Full Frame Documentary Film Festival,4/2/20,4/5/20
Gadabout Film Festival,4/18/20,4/18/20
Garden State Film Festival,3/25/20,3/28/20
Garifuna International Indigenous Film Festival,5/9/20,5/31/20
Gasparilla International Film Festival,3/17/20,3/22/20
George Lindsey UNA Film Festival,3/5/20,3/7/20
GI Film Festival San Diego,9/24/20,9/29/20
Gig Harbor Film Festival,9/24/20,9/27/20
GLAS Animation Film Festival,3/19/20,3/22/20
Glendale International Film Festival,9/25/20,10/1/20
Global Cinema Film Festival of Boston,3/27/20,3/29/20
Global Impact Film Festival,8/28/20,8/30/20
Global Peace Film Festival,9/29/20,10/4/20
Gold Coast International Film Festival,11/3/20,11/11/20
Golden Door Film Festival,9/19/20,9/26/20
Golden Gate International Film Festival,11/6/20,11/8/20
Great Lakes Christian Film Festival,7/30/20,8/2/20
Great Lakes International Film Festival,9/24/20,10/10/20
Green Bay Film Festival,2/6/20,3/8/20
Green Mountain Film Festival,3/26/20,3/31/20
Greenpoint Film Festival,5/7/20,5/10/20
Greenwich International Film Festival,4/30/20,5/3/20
Greenwich Village Film Festival,10/19/20,10/21/20
H.P. Lovecraft Film Festival,10/2/20,10/4/20
Haiti International Film Festival,8/15/20,8/15/20
Hamilton International Film Festival,7/20/20,7/26/20
Hamptons Doc Fest,12/3/20,12/7/20
Hamptons International Film Festival,10/8/20,10/12/20
Hang On To Your Shorts! Film Festival,5/2/20,5/3/20
Happenstance Horror Fest,6/15/20,6/15/20
Harlem International Film Festival,5/14/20,5/17/20
Hartford Jewish Film Festival,3/5/20,3/15/20
Harvard College Film Festival,4/17/20,4/18/20
Hawaii International Film Festival,11/5/20,11/15/20
Hayti Heritage Film Festival,2/13/20,2/15/20
Heartland International Film Festival ,10/8/20,10/18/20
Hell's Half Mile Film & Music Festival,9/24/20,9/27/20
Heritage Film Festival,5/13/20,5/16/20
