Object ID,Last Year's Month,ADDRESS,Primary Category for Calendar,Category,GA,Festival Name,Website,FilmFreeway / Submissions,Date Changes & Cancellations due to COVID-19,Start Date,End Date,City,State,First Submission Deadline,Last Submission Deadline,Oscar Qualifying (Short Subject),Oscar Qualifying (Doc Short),Film Fest Alliance,Category Start,General,Documentary,Short,Women's,LGBTQ+,Jewish,"Black, African, Afr. Am. (etc)","Asian, As. Am. (etc)","Latino, Latin American (etc)","Native American, Indigenous (etc)","Muslim, Arab, Arab Am. (etc)","Misc. Ethnic, Cultural, Foreign Focus (etc)","Genre - (SciFi, Fantasy, Thriller, Horror, etc.)",Horror,Underground,Animation,Comedy,Student,Misc. Niche,"Environment, Outdoor, Adventure, Wildlife","Social Justice, Peace",Children's,Dance,Christian,"Experimental, Video Art (etc)"
23,,"Irvington, NY 10533",Misc. Niche,Misc. Niche,,Antham Libertarian Film Festival,https://anthemfilmfestival.com/,https://filmfreeway.com/AnthemLibertarianFilmFestival-1536539,Canceled,7/13/2020,7/16/2020,Las Vegas,NV,1/14/2020,4/13/2020,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
24,,"1616 N 56th Ln Phoenix, AZ 85035 United States","Genre - (SciFi, Fantasy, Thriller, Horror, etc.)","Short, Genre",,Apocalypse Later International Fantastic Film Festival,http://www.alfilmfest.com/,https://filmfreeway.com/ALIFFF,,10/9/2020,10/11/2020,Phoenix,AZ,1/1/2020,8/15/2020,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,
25,10,"3739 Balboa Street #125 San Francisco, California 94121 United States","Muslim, Arab, Arab Am. (etc)",Muslim/Arab/Arab American,,Arab Film Festival,http://www.arabfilmfestival.org/,https://filmfreeway.com/AFF,,tbd,tbd,San Francisco,CA,tbd,tbd,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
26,,"13624 Michigan Avenue Dearborn, Michigan 48126 United States","Muslim, Arab, Arab Am. (etc)",Muslim/Arab/Arab American,,Arab Film Festival @ Arab National Museum,http://www.arabamericanmuseum.org/,https://filmfreeway.com/ArabFilmFestivalatAANM,,6/5/2020,6/14/2020,Dearborn,MI,2/2/2020,3/1/2020,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
969,10,"5300 Wisconsin Avenue Northwest, Washington, District of Columbia 20015 United States","Muslim, Arab, Arab Am. (etc)","Muslim, Arab, Arab Am. (etc)",,Arabian Sights Film Festival,http://filmfestdc.org/arabiansights,https://filmfreeway.com/ArabianSights,,tbd,tbd,"Washington, DC",DC,tbd,tbd,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
27,,"4147 E Amazon Dr Eugene, OR 97405 United States",Misc. Niche,Misc. Niche,,"Archaeology Channel International Film Festival, The",https://www.archaeologychannel.org/events-guide/tac-international-film-festival/international-film-festival,https://filmfreeway.com/thearchaeologychannelfilmfestival,Switched to online,5/13/2020,5/17/2020,Eugene,OR,11/15/2019,11/15/2019,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
28,,"Tucson, AZ 85702",General,General,,Arizona International Film Festival,http://www.filmfestivalarizona.com/,https://filmfreeway.com/ArizonaInternationalFilmFestival,New Dates: Oct 1-12,4/15/2020,4/26/2020,Tucson,AZ,1/10/2020,2/20/2020,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
832,9,"127 E. Congress, Tucson, AZ 85701",Underground,Underground,,Arizona Underground Film Festival,http://www.azundergroundfilmfest.com/,https://filmfreeway.com/ArizonaUndergroundFilmFestival,,tbd,tbd,Tucson ,AZ,tbd,tbd,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
938,,"817 Central Avenue, Hot Springs, Arkansas 71901 United States",Short,Short,,Arkansas Shorts,http://www.lowkeyarts.org,https://filmfreeway.com/ArkansasShorts,,1/4/2020,1/4/2020,Hot Springs,AR,8/1/2019,11/1/2019,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
29,11,"21 Kimball Rd #1, Watertown, Massachusetts 02472",General,General,,Arlington International Film Festival,https://www.aiffest.org/,https://filmfreeway.com/arlingtoninternationalfilmfestival,,11/5/2020,11/8/2020,Watertown,MA,2/29/2020,5/30/2020,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
